First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Mickey,Mouse,22-Nov-43,000-00-0001,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,2000,3000,960.94,3845.93,-1549.33
Donald,Duck,5-Sep-83,000-00-0002,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,2001,3001,14033.89,1731.09,-986.23
Minnie,Mouse,9-Apr-10,000-00-0003,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,2002,3002,56494.36,676.12,-459.78
Goofy,Disney,2-Jul-33,000-00-0004,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,2003,3003,58821.85,2372153.16,-752.22
Pluto,Disney,5-Jul-41,000-00-0005,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,2004,3004,1456873.56,4.54E+07,-411.84
Chip,Disney,12-Jan-47,000-00-0006,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,2005,3005,553417.3,576740.32,-1492.58
Dale,Disney,28-Nov-30,000-00-0007,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,2006,3006,1.24E+09,248286.11,-1775.92
Cinderella,Disney,14-Nov-77,000-00-0008,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,2007,3007,124613.07,238132.42,-1039.75
Ariel,Disney,15-Sep-32,000-00-0009,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,2008,3008,19.45,3091.05,-113.11
Jasmine,Disney,20-Sep-32,000-00-0010,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,2009,3009,1745.05,4135.41,-1456.51
Aladdin,Disney,9-Nov-92,000-00-0011,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,2010,3010,699.52,3517.98,-464.05
Simba,Disney,25-Jul-34,000-00-0012,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,2011,3011,1566.61,1570.65,-980.76
Mufassa,Disney,29-Jul-65,000-00-0013,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,2012,3012,958.83,3483.09,-1918.16
Aurora,Disney,21-Jan-37,000-00-0014,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,2013,3013,1396.14,1644.06,-271.98
Peter,Pan,11-Nov-73,000-00-0015,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,2014,3014,1817.07,1405.99,-307.82
