First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Daniel,A,"December 5, 1953",79,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,A*Daniel!987,1078,2078,3078,1311.17,3198.85,-186.96,
Grecia,Navarrete,"March 29, 2011",56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,Navarrete*Grecia!987,1055,2055,3055,1339.79,3901.29,-475.59,
Mufassa,Disney,"May 24, 1938",13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Mufassa!987,1012,2012,3012,1100.32,4801.11,-346.32,
Hernan,Garcia,"March 29, 1964",57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,Garcia*Hernan!987,1056,2056,3056,715.18,3305.52,-511.05,
Donald,Duck,"June 14, 2009",2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Duck*Donald!987,1001,2001,3001,368.81,4911.33,-1239.22,
Daniel,Mejia,"November 1, 2002",78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,Mejia*Daniel!987,1077,2077,3077,138.72,642.59,-1368.18,
Daniel,B,"October 13, 1999",80,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,B*Daniel!987,1079,2079,3079,1423.9,105.65,-1387.1,
Peter,Pan,"October 18, 1954",15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Pan*Peter!987,1014,2014,3014,135.9,2200.51,-1274.09,
Daniel,Z,"September 24, 2008",103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,Z*Daniel!987,1102,2102,3102,1497.87,1857.88,-1908.51,
Hercules,Disney,"March 27, 2004",33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Hercules!987,1032,2032,3032,1275.9,4413.97,-1381.5,
Daniel,J,"December 19, 1939",88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,J*Daniel!987,1087,2087,3087,156.17,21.57,-197.37,
Ursela,Mermaid,"September 10, 1967",19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mermaid*Ursela!987,1018,2018,3018,402.17,1786.29,-1821.94,
Daniel,K,"December 31, 2015",89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,K*Daniel!987,1088,2088,3088,1699.61,1577.7,-165.76,
Manuel,Melendez Lujan,"July 10, 1966",67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,Melendez Lujan*Manuel!987,1066,2066,3066,1531.84,97.69,-908.91,
Eduardo,Garcia,"September 25, 1954",50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,Garcia*Eduardo!987,1049,2049,3049,1659.23,3148.33,-1846.05,
Aladdin,Disney,"July 30, 1976",11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Aladdin!987,1010,2010,3010,1090.55,3508.81,-1711.79,
Captaiin,Hook,"December 8, 1990",27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Hook*Captaiin!987,1026,2026,3026,1729.39,4681.42,-280.97,
Robert,Evans,"July 3, 1944",72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,Evans*Robert!987,1071,2071,3071,204.97,4087.67,-1569.94,
Dale,Disney,"January 29, 2012",7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Dale!987,1006,2006,3006,614.56,4839.86,-1485.87,
Woody,Disney,"January 24, 1934",16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Woody!987,1015,2015,3015,1085.79,595.11,-1105.12,
Kaa,Disney,"February 5, 1938",28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Kaa!987,1027,2027,3027,1789.52,4776.21,-1369.45,
Daniel,I,"September 17, 1930",87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,I*Daniel!987,1086,2086,3086,653.47,4810.3,-168.05,
Laurence,Labayen,"March 12, 1953",65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,Labayen*Laurence!987,1064,2064,3064,1529.55,1732.34,-1264.46,
Evil,Queen,"June 24, 1992",29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Queen*Evil!987,1028,2028,3028,1037.81,2431.06,-1759.08,
Anthony,Jasso,"April 12, 1936",42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,Jasso*Anthony!987,1041,2041,3041,1475.16,2898.84,-489.99,
Mauricio,Ornelas-Gutierrez,"April 2, 1939",69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,Ornelas-Gutierrez*Mauricio!987,1068,2068,3068,1158.7,4973.67,-1775.99,
Cesar,Cabrera,"November 11, 1956",45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,Cabrera*Cesar!987,1044,2044,3044,1541.07,3242.37,-477.05,
Lidice,Castro Jimenez,"September 9, 1967",66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,Castro Jimenez*Lidice!987,1065,2065,3065,359.48,3495.16,-848.78,
Daniel,T,"October 15, 1938",97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,T*Daniel!987,1096,2096,3096,1575.93,3933.31,-5.74,
Minh,Dang,"November 6, 1981",70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,Dang*Minh!987,1069,2069,3069,623.41,4545.28,-1026.33,
Daniel,L,"May 15, 1930",90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,L*Daniel!987,1089,2089,3089,679.06,3328.88,-244.06,
Daniel,S,"February 3, 1961",96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,S*Daniel!987,1095,2095,3095,1251.38,4256.77,-1147.74,
Khandoker,Rahad,"July 22, 2010",77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,Rahad*Khandoker!987,1076,2076,3076,1527.29,103.53,-1886.38,
Nathan,Aun,"April 26, 1987",76,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,Aun*Nathan!987,1075,2075,3075,450.95,3284.9,-736.91,
Aurora,Disney,"September 17, 1994",14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Aurora!987,1013,2013,3013,538.75,4760.56,-680.58,
Sofia,Hernandez,"December 9, 2011",74,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,Hernandez*Sofia!987,1073,2073,3073,764.74,3354.61,-984.84,
Alyssandra,Cordero,"October 2, 1930",41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,Cordero*Alyssandra!987,1040,2040,3040,975.7,1419.14,-622.78,
Daniel,G,"June 23, 1965",85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,G*Daniel!987,1084,2084,3084,717.17,1686.03,-782.02,
Daniel,P,"January 4, 1954",93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,P*Daniel!987,1092,2092,3092,953.44,2992.45,-1254.62,
Federico,Marin,"May 31, 2004",53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,Marin*Federico!987,1052,2052,3052,54.19,2324.71,-1721.32,
Prince,Eric,"August 7, 2014",31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Eric*Prince!987,1030,2030,3030,1984.69,3944.06,-1147.04,
Daniel,D,"June 16, 1940",82,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,D*Daniel!987,1081,2081,3081,79.25,516.12,-1438.09,
Jafar,Aladdin,"July 2, 1930",18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Aladdin*Jafar!987,1017,2017,3017,1036.42,1359.25,-1124.05,
Minnie,Mouse,"October 14, 1940",3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mouse*Minnie!987,1002,2002,3002,61.38,41.82,-440.11,
Laura,Blanco,"November 27, 1947",64,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,Blanco*Laura!987,1063,2063,3063,1409.83,4980.68,-1728.0,
Yulianna,Torres,"June 4, 1953",75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,Torres*Yulianna!987,1074,2074,3074,156.48,263.76,-1589.04,
Cruella,De Vil,"March 28, 1962",22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,De Vil*Cruella!987,1021,2021,3021,1578.91,3934.52,-1145.01,
Beast,Disney,"January 25, 1944",20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Beast!987,1019,2019,3019,1055.27,2723.58,-1415.03,
Stitch,Disney,"March 4, 1987",36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Stitch!987,1035,2035,3035,1368.49,727.62,-91.13,
