Savings Account Number,Last Name,Identification Number,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Password,Credit Starting Balance,Address,First Name,Email,Credit Max
2078,A,79,"January 16, 1977",1078,3078,(915) 747-5042,604.60,3274.37,A*Daniel!987,-1677.07,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielA@disney.com,7623
2055,Navarrete,56,"March 30, 1952",1055,3055,(915) 747-5019,875.35,3889.46,Navarrete*Grecia!987,-1138.15,"500 W. University Ave, El Paso, TX 79968",Grecia,GreciaNavarrete@disney.com,6341
2012,Disney,13,"January 19, 2000",1012,3012,(714) 781-4636,1703.24,219.88,Disney*Mufassa!987,-1446.65,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa,MufassaDisney@disney.com,4946
2056,Garcia,57,"November 26, 1975",1056,3056,(915) 747-5020,1264.74,2288.26,Garcia*Hernan!987,-393.33,"500 W. University Ave, El Paso, TX 79968",Hernan,HernanGarcia@disney.com,7143
2001,Duck,2,"July 12, 2007",1001,3001,(714) 781-4636,1071.60,4882.40,Duck*Donald!987,-1299.94,"1313 Disneyland Dr, Anaheim, CA 92802",Donald,DonaldDuck@disney.com,6868
2077,Mejia,78,"August 27, 1962",1077,3077,(915) 747-5041,33.97,1773.54,Mejia*Daniel!987,-868.38,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielMejia@disney.com,3303
2079,B,80,"April 24, 2003",1079,3079,(915) 747-5043,1411.52,1649.01,B*Daniel!987,-814.10,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielB@disney.com,7243
2014,Pan,15,"November 29, 2007",1014,3014,(714) 781-4636,1977.70,3037.54,Pan*Peter!987,-1198.01,"1313 Disneyland Dr, Anaheim, CA 92802",Peter,PeterPan@disney.com,9991
2102,Z,103,"August 31, 1957",1102,3102,(915) 747-5066,442.92,1179.28,Z*Daniel!987,-1406.61,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielZ@disney.com,6989
2032,Disney,33,"July 18, 1969",1032,3032,(714) 781-4636,1787.70,3366.80,Disney*Hercules!987,-263.98,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules,HerculesDisney@disney.com,4603
2087,J,88,"August 21, 1970",1087,3087,(915) 747-5051,929.40,4538.01,J*Daniel!987,-258.09,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielJ@disney.com,3130
2018,Mermaid,19,"January 9, 1942",1018,3018,(714) 781-4636,1803.86,3263.74,Mermaid*Ursela!987,-538.11,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela,UrselaMermaid@disney.com,5278
