First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Daniel,A,"January 16, 1977",79,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,A*Daniel!987,1078,2078,3078,604.6,3274.37,-1677.07,
Grecia,Navarrete,"March 30, 1952",56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,Navarrete*Grecia!987,1055,2055,3055,4904.24,3889.46,-1138.15,
Mufassa,Disney,"January 19, 2000",13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Mufassa!987,1012,2012,3012,1669.7,118.41,-1446.65,
Hernan,Garcia,"November 26, 1975",57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,Garcia*Hernan!987,1056,2056,3056,5299.44,2288.26,-393.33,
Donald,Duck,"July 12, 2007",2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Duck*Donald!987,1001,2001,3001,1044.14,4792.4,-1299.94,
Daniel,Mejia,"August 27, 1962",78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,Mejia*Daniel!987,1077,2077,3077,39033.97,1773.54,-868.38,
Daniel,B,"April 24, 2003",80,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,B*Daniel!987,1079,2079,3079,1411.52,1649.01,-814.1,
Peter,Pan,"November 29, 2007",15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Pan*Peter!987,1014,2014,3014,1977.7,2903.5,-1198.01,
Daniel,Z,"August 31, 1957",103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,Z*Daniel!987,1102,2102,3102,442.92,1179.28,-1406.61,
Hercules,Disney,"July 18, 1969",33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Hercules!987,1032,2032,3032,1787.7,3281.8,-263.98,
Daniel,J,"August 21, 1970",88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,J*Daniel!987,1087,2087,3087,929.4,4538.01,-258.09,
Ursela,Mermaid,"January 9, 1942",19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mermaid*Ursela!987,1018,2018,3018,1803.86,3180.9,-538.11,
Daniel,K,"December 4, 1939",89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,K*Daniel!987,1088,2088,3088,314.92,1859.88,-843.19,
Manuel,Melendez Lujan,"April 7, 1989",67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,Melendez Lujan*Manuel!987,1066,2066,3066,5178.71,380.42,-1218.86,
Eduardo,Garcia,"March 11, 2008",50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,Garcia*Eduardo!987,1049,2049,3049,4808.14,228.75,-1529.15,
Aladdin,Disney,"December 24, 1942",11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Aladdin!987,1010,2010,3010,1469.57,1620.16,-1674.03,
Captaiin,Hook,"September 28, 1965",27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Hook*Captaiin!987,1026,2026,3026,384.12,4779.97,-1120.05,
Robert,Evans,"September 21, 2019",72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,Evans*Robert!987,1071,2071,3071,4234.42,561.48,-533.05,
Dale,Disney,"July 3, 1959",7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Dale!987,1006,2006,3006,593.19,1434.36,-1423.85,
Woody,Disney,"December 21, 1938",16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Woody!987,1015,2015,3015,887.7,4099.04,-1509.11,
Kaa,Disney,"April 16, 1995",28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Kaa!987,1027,2027,3027,886.66,4714.49,-1224.93,
Daniel,I,"March 29, 2019",87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,I*Daniel!987,1086,2086,3086,1914.68,3789.3,-1808.89,
Laurence,Labayen,"March 12, 1928",65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,Labayen*Laurence!987,1064,2064,3064,5627.41,1098.51,-282.72,
Evil,Queen,"December 14, 1980",29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Queen*Evil!987,1028,2028,3028,932.3,2971.67,-1393.71,
Anthony,Jasso,"April 25, 1966",42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,Jasso*Anthony!987,1041,2041,3041,4977.8,2407.28,-633.53,
Mauricio,Ornelas-Gutierrez,"December 21, 2007",69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,Ornelas-Gutierrez*Mauricio!987,1068,2068,3068,5948.7,283.57,-1581.68,
Cesar,Cabrera,"September 28, 1992",45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,Cabrera*Cesar!987,1044,2044,3044,5776.95,4712.84,-822.2,
Lidice,Castro Jimenez,"January 10, 2016",66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,Castro Jimenez*Lidice!987,1065,2065,3065,4836.95,4041.9,-1483.2,
Daniel,T,"March 13, 1942",97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,T*Daniel!987,1096,2096,3096,1620.38,3486.9,-1480.49,
Minh,Dang,"March 8, 1955",70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,Dang*Minh!987,1069,2069,3069,4722.31,1803.11,-1779.05,
Daniel,L,"March 7, 1937",90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,L*Daniel!987,1089,2089,3089,412.1,1050.31,-1176.41,
Daniel,S,"February 15, 1948",96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,S*Daniel!987,1095,2095,3095,1494.77,2744.16,-738.18,
Khandoker,Rahad,"May 21, 1929",77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,Rahad*Khandoker!987,1076,2076,3076,57.92,4231.71,-607.58,
Nathan,Aun,"April 18, 1963",76,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,Aun*Nathan!987,1075,2075,3075,1.86,1916.87,-782.35,
Aurora,Disney,"January 9, 1952",14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Aurora!987,1013,2013,3013,618.25,4549.18,-483.92,
Sofia,Hernandez,"October 18, 1952",74,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,Hernandez*Sofia!987,1073,2073,3073,4116.84,1751.59,-1916.09,
Alyssandra,Cordero,"October 24, 1977",41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,Cordero*Alyssandra!987,1040,2040,3040,5785.24,2250.01,-1398.0,
Daniel,G,"April 6, 1983",85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,G*Daniel!987,1084,2084,3084,60.38,687.52,-1489.13,
Daniel,P,"July 11, 1962",93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,P*Daniel!987,1092,2092,3092,431.59,3082.6,-108.8,
Federico,Marin,"November 25, 1937",53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,Marin*Federico!987,1052,2052,3052,4127.93,1846.67,-1375.09,
Prince,Eric,"December 9, 1999",31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Eric*Prince!987,1030,2030,3030,989.43,568.25,-1957.66,
Daniel,D,"May 4, 2005",82,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,D*Daniel!987,1081,2081,3081,1834.01,1383.53,-797.57,
Jafar,Aladdin,"August 3, 1963",18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Aladdin*Jafar!987,1017,2017,3017,909.56,1419.37,-1070.89,
Minnie,Mouse,"February 10, 2004",3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mouse*Minnie!987,1002,2002,3002,1543.8,2349.49,-1171.08,
